Date,Discharge,Waterlevel,Precipitation,max_temperature,min_temperature,max_humidity,min_humidity
2000-11-18,56.7,1.31,0.0,25.8,10.2,95.3,68.4
2000-11-19,55.8,1.3,0.0,24.5,10.6,94.4,75.0
2000-11-20,53.9,1.28,0.0,24.9,9.5,92.1,63.6
2000-11-21,52.2,1.26,0.0,24.5,10.0,94.3,72.4
2000-11-22,52.8,1.27,0.0,23.4,9.5,91.2,82.3
2000-11-23,52.2,1.26,0.0,24.3,9.6,92.3,81.3
2000-11-24,48.4,1.21,0.0,24.2,9.5,96.6,78.2
2000-11-25,48.4,1.21,0.0,25.0,9.4,84.0,85.1
2000-11-26,47.8,1.21,0.0,23.7,9.2,95.3,71.4
2000-11-27,47.3,1.2,0.0,23.0,11.0,94.5,74.6
2000-11-28,46.3,1.19,0.0,22.6,11.1,88.5,78.4
2000-11-29,47.9,1.21,0.0,25.0,8.6,90.8,71.8
2000-11-30,47.8,1.21,0.0,22.6,7.0,94.9,73.0
2000-12-01,45.3,1.17,0.0,21.8,6.5,90.2,72.4
2000-12-02,43.8,1.15,0.0,21.0,6.4,93.4,74.9
2000-12-03,44.3,1.16,0.0,21.8,6.0,94.8,70.9
2000-12-04,44.0,1.16,0.0,22.8,5.5,92.5,71.9
2000-12-05,43.5,1.15,0.0,22.7,5.6,92.3,70.5
2000-12-06,42.8,1.14,0.0,22.3,5.5,90.1,68.6
2000-12-07,41.5,1.12,0.0,21.6,6.6,96.0,74.7
2000-12-08,40.1,1.1,0.0,21.8,6.0,90.4,74.3
2000-12-09,40.0,1.1,0.0,22.0,5.2,94.6,77.9
2000-12-10,39.8,1.1,0.0,21.5,5.0,89.4,81.2
2000-12-11,38.0,1.07,0.0,21.1,5.2,95.9,79.2
2000-12-12,39.3,1.09,0.0,20.8,4.5,92.0,68.5
2000-12-13,37.8,1.07,0.0,21.4,5.2,94.4,75.7
2000-12-14,38.9,1.09,0.0,22.3,5.1,89.7,76.0
2000-12-15,39.1,1.09,0.0,21.8,5.5,87.1,74.1
2000-12-16,38.4,1.08,0.0,22.2,6.2,92.4,79.5
2000-12-17,38.2,1.08,0.0,23.0,5.5,90.1,79.6
2000-12-18,37.5,1.07,0.0,23.3,6.2,92.6,78.1
2000-12-19,36.6,1.05,0.0,23.0,6.6,79.6,74.7
2000-12-20,35.7,1.04,0.0,21.2,6.0,92.4,75.7
2000-12-21,35.7,1.04,0.0,22.0,7.0,92.5,72.7
2000-12-22,35.5,1.04,0.0,22.6,6.8,94.9,81.8
2000-12-23,35.1,1.03,0.0,23.2,6.0,94.7,75.3
2000-12-24,35.1,1.03,0.0,23.6,6.0,90.0,80.0
2000-12-25,35.1,1.03,0.0,22.7,6.2,90.3,64.9
2000-12-26,34.4,1.02,0.0,22.5,5.5,89.8,68.4
2000-12-27,33.9,1.01,0.0,22.6,5.6,92.3,68.6
2000-12-28,33.7,1.01,0.0,22.8,5.5,94.7,74.4
